timestamp,strategy,mode,pair,timerange,wallet,n_trades,win_rate_pct,roi_pct,max_dd_pct,sharpe,sortino,profit_factor,calmar,total_pnl,run_dir,notes
20260602_232057,BtcTripleRegimeStrategy,SOL_Triple_2024,BTC/USDT,20240101-20250101,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_232057__BtcTripleRegimeStrategy__SOL_Triple_2024__BTC_USDT,SOL Triple per-year
20260602_232101,BtcTripleRegimeStrategy,SOL_Triple_2025,BTC/USDT,20250101-20260101,10000.0,3,33.33,-10.385,10.385,-0.104,-1.187,0.272,-5.234,-1038.53385257,20260602_232101__BtcTripleRegimeStrategy__SOL_Triple_2025__BTC_USDT,SOL Triple per-year
20260602_232105,BtcTripleRegimeStrategy,SOL_Triple_2026,BTC/USDT,20260101-20260601,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_232105__BtcTripleRegimeStrategy__SOL_Triple_2026__BTC_USDT,SOL Triple per-year
20260602_232418,BtcSentimentShieldStrategy,SENT_2021,BTC/USDT,20210101-20220101,10000.0,8,87.5,118.311,8.001,0.479,-100.0,13.628,77.401,11831.11378014,20260602_232418__BtcSentimentShieldStrategy__SENT_2021__BTC_USDT,Sentiment Shield
20260602_232421,BtcSentimentShieldStrategy,SENT_2022,BTC/USDT,20220101-20230101,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_232421__BtcSentimentShieldStrategy__SENT_2022__BTC_USDT,Sentiment Shield
20260602_232426,BtcSentimentShieldStrategy,SENT_2023,BTC/USDT,20230101-20240101,10000.0,6,100.0,52.658,0.0,0.642,-100.0,0.0,-100.0,5265.77951095,20260602_232426__BtcSentimentShieldStrategy__SENT_2023__BTC_USDT,Sentiment Shield
20260602_232430,BtcSentimentShieldStrategy,SENT_2024,BTC/USDT,20240101-20250101,10000.0,7,42.86,36.639,18.702,0.113,0.251,2.157,10.226,3663.89721604,20260602_232430__BtcSentimentShieldStrategy__SENT_2024__BTC_USDT,Sentiment Shield
20260602_232434,BtcSentimentShieldStrategy,SENT_2025,BTC/USDT,20250101-20260101,10000.0,2,50.0,11.907,4.409,0.056,-100.0,3.307,14.135,1190.6860567499998,20260602_232434__BtcSentimentShieldStrategy__SENT_2025__BTC_USDT,Sentiment Shield
20260602_232438,BtcSentimentShieldStrategy,SENT_2026,BTC/USDT,20260101-20260601,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_232438__BtcSentimentShieldStrategy__SENT_2026__BTC_USDT,Sentiment Shield
20260602_233512,SolVolShieldStrategy,SOL_VOL_2021,BTC/USDT,20210101-20220101,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_233512__SolVolShieldStrategy__SOL_VOL_2021__BTC_USDT,SOL VolShield
20260602_233516,SolVolShieldStrategy,SOL_VOL_2022,BTC/USDT,20220101-20230101,10000.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20260602_233516__SolVolShieldStrategy__SOL_VOL_2022__BTC_USDT,SOL VolShield
20260602_233519,SolVolShieldStrategy,SOL_VOL_2023,BTC/USDT,20230101-20240101,10000.0,1,0.0,-7.179,7.179,-100.0,-100.0,0.0,-5.234,-717.9390876,20260602_233519__SolVolShieldStrategy__SOL_VOL_2023__BTC_USDT,SOL VolShield
20260602_233523,SolVolShieldStrategy,SOL_VOL_2024,BTC/USDT,20240101-20250101,10000.0,1,100.0,1.644,0.0,-100.0,-100.0,0.0,-100.0,164.3969868,20260602_233523__SolVolShieldStrategy__SOL_VOL_2024__BTC_USDT,SOL VolShield
