source,file,strategy,coin,pair,n_trades,roi_pct,win_rate_pct,max_dd_pct,sharpe,sortino,profit_factor,timerange,score
freqtrade_zip,backtest-result-2026-06-03_00-50-16.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,3,-6.73,0.0,0.06733477918900008,-0.5169479910352449,-0.5169479910352449,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-12.034149468730451
freqtrade_zip,backtest-result-2026-06-03_00-50-19.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,2,-4.42,0.0,0.04415047919000008,-0.5791001421415829,-0.5791001421415829,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-10.29930237979583
freqtrade_zip,backtest-result-2026-06-03_00-50-22.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,4,-5.91,25.0,0.10033824165845916,-0.06371232418799275,-0.13325162825399328,0.511057836681596,2025-01-01 00:00:00~2026-01-01 00:00:00,-6.747799725196846
freqtrade_zip,backtest-result-2026-06-03_00-50-26.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,2,-5.53,0.0,0.05530827534199998,-0.8284706610759416,-0.8284706610759416,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-13.925323161443416
freqtrade_zip,backtest-result-2026-06-03_00-50-29.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_00-50-32.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,3,2.07,66.66666666666666,0.06158912286670475,0.01733538913303084,-100.0,1.3091764162983464,2025-01-01 00:00:00~2026-01-01 00:00:00,2.1201756455968988
freqtrade_zip,backtest-result-2026-06-03_00-50-35.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_00-51-08.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,6,22.49,66.66666666666666,0.04013689729318312,0.22046075326095574,0.7536246031392342,4.702311250235221,2021-01-01 00:00:00~2022-01-01 00:00:00,24.61433373802319
freqtrade_zip,backtest-result-2026-06-03_00-51-11.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_00-51-15.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,6,11.72,50.0,0.058732225248257976,0.0993510279475161,0.5511105238186526,2.6724009266671773,2023-01-01 00:00:00~2024-01-01 00:00:00,12.596045828978646
freqtrade_zip,backtest-result-2026-06-03_00-51-19.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,2,17.56,100.0,0.0,0.11682980544265961,-100.0,0.0,2024-01-01 00:00:00~2025-01-01 00:00:00,18.728298054426595
freqtrade_zip,backtest-result-2026-06-03_00-51-22.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,3,2.07,66.66666666666666,0.06158912286670475,0.01733538913303084,-100.0,1.3091764162983464,2025-01-01 00:00:00~2026-01-01 00:00:00,2.1201756455968988
freqtrade_zip,backtest-result-2026-06-03_00-51-26.zip,BtcTripleRegimeStrategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-11-43.zip,BtcAiShieldV2Strategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-11-46.zip,BtcAiShieldV2Strategy,BTC,BTC/USDT,2,13.86,50.0,0.026791300114218188,0.07208887640266705,-100.0,5.423185643271728,2025-01-01 00:00:00~2026-01-01 00:00:00,14.527306163798233
freqtrade_zip,backtest-result-2026-06-03_01-11-49.zip,BtcAiShieldV2Strategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-11-53.zip,BtcAiShieldV2Strategy,BTC,BTC/USDT,8,118.07,87.5,0.07832923554993573,0.47558626366738044,-100.0,13.914289268784826,2021-01-01 00:00:00~2022-01-01 00:00:00,122.66920416557392
freqtrade_zip,backtest-result-2026-06-03_01-11-56.zip,BtcAiShieldV2Strategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2022-01-01 00:00:00~2023-01-01 00:00:00,-999.0
freqtrade_zip,backtest-result-2026-06-03_01-12-00.zip,BtcAiShieldV2Strategy,BTC,BTC/USDT,6,43.76,100.0,0.0,0.6564090818297673,-100.0,0.0,2023-01-01 00:00:00~2024-01-01 00:00:00,50.32409081829767
freqtrade_zip,backtest-result-2026-06-03_01-12-04.zip,BtcAiShieldV2Strategy,BTC,BTC/USDT,7,33.36,42.857142857142854,0.17366546178400502,0.11353063502019237,0.2640433217262126,2.149520722044462,2024-01-01 00:00:00~2025-01-01 00:00:00,34.14797542663391
freqtrade_zip,backtest-result-2026-06-03_01-12-07.zip,BtcAiShieldV2Strategy,BTC,BTC/USDT,2,13.86,50.0,0.026791300114218188,0.07208887640266705,-100.0,5.423185643271728,2025-01-01 00:00:00~2026-01-01 00:00:00,14.527306163798233
freqtrade_zip,backtest-result-2026-06-03_01-12-11.zip,BtcAiShieldV2Strategy,BTC,BTC/USDT,0,0.0,0.0,0.0,0.0,0.0,0.0,2026-01-01 00:00:00~2026-05-29 00:00:00,-999.0
