pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday,strategy,mode,pair_tag,run_folder,coin,open_year,open_month,open_dow,close_dow,duration_days,is_win,dur_bucket
BNB/USDT,6958.908,6958.908,22.27,2024-01-02 00:00:00+00:00,2024-02-29 00:00:00+00:00,312.5,414.7,0.001,0.001,83520,0.3244774488016962,2260.266723,calendar_shield:exit,3.2,-0.99,3.2,-0.99,287.5,427.3,False,calendar_shield,1.0,False,1704153600000,1709164800000,0.0,3,BtcCalendarShieldStrategy,MY_BNB_Calendar_2024,BTC/USDT,20260605_001220__BtcCalendarShieldStrategy__MY_BNB_Calendar_2024__BTC_USDT,BTC,2024,1,Tuesday,Thursday,58,True,31-60d
BNB/USDT,8536.6479,10270.0092,19.846,2024-03-01 00:00:00+00:00,2024-06-25 00:00:00+00:00,430.1,568.1,0.001,0.001,167040,0.3500713855883742,3598.831587,calendar_shield:exit,4.0,-0.99,4.4,-0.99,356.1,721.8,False,calendar_shield,1.0,False,1709251200000,1719273600000,0.0,1,BtcCalendarShieldStrategy,MY_BNB_Calendar_2024,BTC/USDT,20260605_001220__BtcCalendarShieldStrategy__MY_BNB_Calendar_2024__BTC_USDT,BTC,2024,3,Friday,Tuesday,116,True,61-120d
BNB/USDT,13016.217,13016.217,23.457,2024-09-16 00:00:00+00:00,2024-11-07 00:00:00+00:00,554.9,592.2,0.001,0.001,74880,0.0650929286071432,848.1109476,calendar_shield:exit,5.6,-0.99,5.6,-0.99,527.0,618.6,False,calendar_shield,1.0,False,1726444800000,1730937600000,0.0,3,BtcCalendarShieldStrategy,MY_BNB_Calendar_2024,BTC/USDT,20260605_001220__BtcCalendarShieldStrategy__MY_BNB_Calendar_2024__BTC_USDT,BTC,2024,9,Monday,Thursday,52,True,31-60d
BNB/USDT,13560.42505,13560.42505,20.557,2024-11-25 00:00:00+00:00,2024-12-06 00:00:00+00:00,659.65,717.1,0.001,0.001,15840,0.0849196282380546,1152.69780025,calendar_shield:exit,6.6,-0.99,6.6,-0.99,600.02,793.86,False,calendar_shield,1.0,False,1732492800000,1733443200000,0.0,4,BtcCalendarShieldStrategy,MY_BNB_Calendar_2024,BTC/USDT,20260605_001220__BtcCalendarShieldStrategy__MY_BNB_Calendar_2024__BTC_USDT,BTC,2024,11,Monday,Friday,11,True,8-30d
BNB/USDT,14545.25218,14545.25218,19.919,2024-12-07 00:00:00+00:00,2025-01-01 00:00:00+00:00,730.22,702.31,0.001,0.001,36000,-0.0401429935953778,-584.47385507,force_exit,7.31,-0.99,7.31,-0.99,618.69,761.0,False,calendar_shield,1.0,False,1733529600000,1735689600000,0.0,2,BtcCalendarShieldStrategy,MY_BNB_Calendar_2024,BTC/USDT,20260605_001220__BtcCalendarShieldStrategy__MY_BNB_Calendar_2024__BTC_USDT,BTC,2024,12,Saturday,Wednesday,25,False,8-30d
BNB/USDT,7467.03573,8760.88374,11.187,2025-05-15 00:00:00+00:00,2025-10-11 00:00:00+00:00,667.47,1102.57,0.001,0.001,214560,0.6038859901099923,5295.8655265200005,calendar_shield:exit,6.53,-0.99,6.68,-0.99,601.25,1349.99,False,calendar_shield,1.0,False,1747267200000,1760140800000,0.0,5,BtcCalendarShieldStrategy,MY_BNB_Calendar_2025,BTC/USDT,20260605_001224__BtcCalendarShieldStrategy__MY_BNB_Calendar_2025__BTC_USDT,BTC,2025,5,Thursday,Saturday,149,True,120d+
BNB/USDT,6299.6385,9503.94111,5.55,2025-10-12 00:00:00+00:00,2025-11-23 00:00:00+00:00,1135.07,833.78,0.001,0.001,60480,-0.1896050260278255,-1803.79699653,calendar_shield:exit,11.36,-0.99,11.36,-0.99,790.79,1375.11,False,calendar_shield,1.0,False,1760227200000,1763856000000,0.0,6,BtcCalendarShieldStrategy,MY_BNB_Calendar_2025,BTC/USDT,20260605_001224__BtcCalendarShieldStrategy__MY_BNB_Calendar_2025__BTC_USDT,BTC,2025,10,Sunday,Sunday,42,False,31-60d
BNB/USDT,8499.9952496,8499.9952496,561.842,2019-03-21 00:00:00+00:00,2019-03-25 00:00:00+00:00,15.1288,17.1112,0.001,0.001,5760,0.1287750375582854,1095.68179472,triple:lost_consensus,0.1513,-0.99,0.1513,-0.99,13.8607,17.5,False,triple:tr_strict,1.0,False,1553126400000,1553472000000,0.0,0,BtcTripleRegimeStrategy,MY_BNB_Triple_2019,BTC/USDT,20260605_001234__BtcTripleRegimeStrategy__MY_BNB_Triple_2019__BTC_USDT,BTC,2019,3,Thursday,Monday,4,True,0-7d
BNB/USDT,9431.3151114,9431.3151114,538.314,2019-04-01 00:00:00+00:00,2019-04-03 00:00:00+00:00,17.5201,19.7155,0.001,0.001,2880,0.1230591373111695,1161.77011082,triple:lost_consensus,0.1753,-0.99,0.1753,-0.99,17.3319,20.0,False,triple:tr_strict,1.0,False,1554076800000,1554249600000,0.0,2,BtcTripleRegimeStrategy,MY_BNB_Triple_2019,BTC/USDT,20260605_001234__BtcTripleRegimeStrategy__MY_BNB_Triple_2019__BTC_USDT,BTC,2019,4,Monday,Wednesday,2,True,0-7d
BNB/USDT,8499.9825566,8499.9825566,461.938,2020-07-14 00:00:00+00:00,2020-07-17 00:00:00+00:00,18.4007,17.1647,0.001,0.001,4320,-0.0690351511032452,-587.38437775,triple:lost_consensus,0.1841,-0.99,0.1841,-0.99,16.5473,18.77,False,triple:tr_strict,1.0,False,1594684800000,1594944000000,0.0,4,BtcTripleRegimeStrategy,MY_BNB_Triple_2020,BTC/USDT,20260605_001238__BtcTripleRegimeStrategy__MY_BNB_Triple_2020__BTC_USDT,BTC,2020,7,Tuesday,Friday,3,False,0-7d
