pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,funding_fees,weekday,strategy,mode,pair_tag,run_folder
BTC/USDT,37032.8453818,37032.8453818,1.47389,2023-03-16 00:00:00+00:00,2023-08-09 00:00:00+00:00,25125.92,29770.41,0.001,0.001,210240,0.1824811243420766,6764.55305812,mv2:exit,242.86,-0.99,251.26,-0.99,24123.0,31804.2,False,mv2:enter,1.0,False,1678924800000,1691539200000,0.0,2,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,39695.9043519,47633.4698014,1.42524,2023-10-07 00:00:00+00:00,2023-10-17 00:00:00+00:00,27852.08,28500.77,0.001,0.001,14400,0.0114607185507398,546.45970478,mv2:exit,279.32,-0.99,279.32,-0.99,26538.66,30000.0,False,mv2:enter,1.0,False,1696636800000,1697500800000,0.0,1,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,40589.64,40589.64,1.43325,2023-10-19 00:00:00+00:00,2023-10-24 00:00:00+00:00,28320.0,33069.99,0.001,0.001,7200,0.1653925174401254,6719.93596433,mv2:exit,283.21,-0.99,283.21,-0.99,28100.66,35280.0,False,mv2:enter,1.0,False,1697673600000,1698105600000,0.0,1,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,48508.75733257,59708.2715646,1.41921,2023-10-25 00:00:00+00:00,2023-11-10 00:00:00+00:00,34180.11,36701.1,0.001,0.001,23040,0.0657793598275696,3931.49945181,mv2:exit,339.23,-0.99,341.81,-0.99,33390.95,37972.24,False,mv2:enter,1.0,False,1698192000000,1699574400000,0.0,4,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,52633.36368981,62398.0443626,1.36445,2023-11-11 00:00:00+00:00,2024-02-29 00:00:00+00:00,38574.78,62432.11,0.001,0.001,158400,0.5705804128245701,35638.70501377,mv2:exit,373.02,-0.99,385.75,-0.99,34800.0,64000.0,False,mv2:enter,1.0,False,1699660800000,1709164800000,0.0,3,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,85049.31848201,110665.1975039,1.37125,2024-03-01 00:00:00+00:00,2024-06-25 00:00:00+00:00,62023.2,60293.3,0.001,0.001,167040,-0.0232181142525862,-2572.00663663,mv2:exit,611.31,-0.99,620.24,-0.99,56552.82,73777.0,False,mv2:enter,1.0,False,1709251200000,1719273600000,0.0,1,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,75749.13415734,87779.970546,1.11941,2024-07-27 00:00:00+00:00,2024-08-06 00:00:00+00:00,67668.8,54018.82,0.001,0.001,14400,-0.1881936916752654,-16536.15634891,mv2:exit,679.09,-0.99,679.09,-0.99,49000.0,70079.99,False,mv2:enter,1.0,False,1722038400000,1722902400000,0.0,1,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,71902.5041301,71902.5041301,1.18612,2024-08-11 00:00:00+00:00,2024-08-30 00:00:00+00:00,60619.92,59359.0,0.001,0.001,27360,-0.0227569288571394,-1637.91645131,mv2:exit,609.24,-0.99,609.24,-0.99,56078.54,65000.0,False,mv2:enter,1.0,False,1723334400000,1724976000000,0.0,4,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,71042.34176,71042.34176,1.07872,2024-09-29 00:00:00+00:00,2024-11-07 00:00:00+00:00,65858.0,75571.99,0.001,0.001,56160,0.145206307707334,10326.11193399,mv2:exit,658.59,-0.99,658.59,-0.99,58946.0,76849.99,False,mv2:enter,1.0,False,1727568000000,1730937600000,0.0,3,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,83103.8356528,83103.8356528,1.09552,2024-11-08 00:00:00+00:00,2024-12-06 00:00:00+00:00,75857.89,96945.63,0.001,0.001,40320,0.2754366412981273,22912.73121257,mv2:exit,758.58,-0.99,758.58,-0.99,75555.0,104088.0,False,mv2:enter,1.0,False,1731024000000,1733443200000,0.0,4,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,102635.3191768,102635.3191768,1.02902,2024-12-07 00:00:00+00:00,2025-03-01 00:00:00+00:00,99740.84,84349.95,0.001,0.001,120960,-0.1559984993973927,-16026.96673253,mv2:exit,997.41,-0.99,997.41,-0.99,78258.52,109588.0,False,mv2:enter,1.0,False,1733529600000,1740787200000,0.0,5,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,86426.5329581,86426.5329581,0.92189,2025-04-28 00:00:00+00:00,2025-10-11 00:00:00+00:00,93749.29,112774.49,0.001,0.001,239040,0.200533533039673,17348.74942046,mv2:exit,937.5,-0.99,937.5,-0.99,92800.01,126199.63,False,mv2:enter,1.0,False,1745798400000,1760140800000,0.0,5,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,63315.151456,85088.862932,0.57224,2025-10-12 00:00:00+00:00,2025-11-06 00:00:00+00:00,110644.4,103885.16,0.001,0.001,36000,-0.0486253848659213,-4141.61618658,mv2:exit,1106.45,-0.99,1106.45,-0.99,98944.36,116400.0,False,mv2:enter,1.0,False,1760227200000,1762387200000,0.0,3,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111008__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,10249.70174068,33712.0849027,1.01742,2019-04-06 00:00:00+00:00,2019-09-27 00:00:00+00:00,10074.21,8063.49,0.001,0.001,250560,0.0931373953951851,3142.9956369599995,mv2:exit,50.05,-0.99,102.35,-0.99,4861.22,13970.0,False,mv2:enter,1.0,False,1554508800000,1569542400000,0.0,4,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111013__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,9435.481695,9435.481695,1.0251,2019-10-29 00:00:00+00:00,2019-11-27 00:00:00+00:00,9204.45,7154.75,0.001,0.001,41760,-0.224238841516354,-2117.91728592,mv2:exit,92.05,-0.99,92.05,-0.99,6515.0,9550.0,False,mv2:enter,1.0,False,1572307200000,1574812800000,0.0,2,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111013__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,6714.8050275,8645.359036,0.76905,2020-01-17 00:00:00+00:00,2020-02-28 00:00:00+00:00,8731.3,8823.25,0.001,0.001,60480,0.0214055159073245,185.24342874,mv2:exit,87.21,-0.99,87.32,-0.99,8238.0,10500.0,False,mv2:enter,1.0,False,1579219200000,1582848000000,0.0,4,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111013__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,8673.1002547,8673.1002547,0.98579,2020-05-02 00:00:00+00:00,2020-09-04 00:00:00+00:00,8798.12,10138.29,0.001,0.001,180000,0.1500220365124696,1302.45731925,mv2:exit,88.26,-0.99,88.26,-0.99,8117.0,12468.0,False,mv2:enter,1.0,False,1588377600000,1599177600000,0.0,4,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111013__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,10007.1393,10007.1393,0.84023,2020-10-21 00:00:00+00:00,2020-10-22 00:00:00+00:00,11910.0,12780.75,0.001,0.001,1440,0.0709667536496228,710.88436363,mv2:exit,119.11,-0.99,119.11,-0.99,11886.95,13217.68,False,mv2:enter,1.0,False,1603238400000,1603324800000,0.0,3,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111013__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,10578.5530996,10578.5530996,0.81569,2020-10-23 00:00:00+00:00,2020-10-30 00:00:00+00:00,12968.84,13455.69,0.001,0.001,10080,0.0354669734910938,375.56445162,mv2:exit,129.69,-0.99,129.69,-0.99,12720.08,13859.48,False,mv2:enter,1.0,False,1603411200000,1604016000000,0.0,4,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111013__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,10509.279498,10509.279498,0.74772,2020-11-04 00:00:00+00:00,2020-11-06 00:00:00+00:00,14055.1,15590.02,0.001,0.001,2880,0.1069911222511914,1125.52400715,mv2:exit,140.24,-0.99,140.56,-0.99,13525.0,15960.0,False,mv2:enter,1.0,False,1604448000000,1604620800000,0.0,4,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111013__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,12217.1696892,12217.1696892,0.78722,2020-11-07 00:00:00+00:00,2021-01-12 00:00:00+00:00,15519.38,35410.37,0.001,0.001,95040,1.277127712227646,15618.48886104,mv2:exit,155.8,-0.99,155.8,-0.99,14344.22,41950.0,False,mv2:enter,1.0,False,1604707200000,1610409600000,0.0,1,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111013__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,25208.628694,25208.628694,0.74036,2021-01-13 00:00:00+00:00,2021-01-22 00:00:00+00:00,34049.15,30851.99,0.001,0.001,12960,-0.0957087721033211,-2415.09958561,mv2:exit,340.5,-0.99,340.5,-0.99,28850.0,40100.0,False,mv2:enter,1.0,False,1610496000000,1611273600000,0.0,4,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111013__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,23216.8995,23216.8995,0.70461,2021-01-23 00:00:00+00:00,2021-01-29 00:00:00+00:00,32950.0,33368.18,0.001,0.001,8640,0.0106679911893786,247.92535699,mv2:exit,329.51,-0.99,329.51,-0.99,29241.72,38531.9,False,mv2:enter,1.0,False,1611360000000,1611878400000,0.0,4,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111013__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,23217.9047796,23217.9047796,0.67764,2021-01-31 00:00:00+00:00,2021-02-09 00:00:00+00:00,34262.89,46374.86,0.001,0.001,12960,0.3507968223656246,8152.91198589,mv2:exit,342.63,-0.99,342.63,-0.99,32171.67,48142.19,False,mv2:enter,1.0,False,1612051200000,1612828800000,0.0,1,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111013__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,30384.9161496,30384.9161496,0.67812,2021-02-11 00:00:00+00:00,2021-02-24 00:00:00+00:00,44807.58,48891.0,0.001,0.001,18720,0.0889522639766551,2705.50988933,mv2:exit,448.08,-0.99,448.08,-0.99,43994.02,58352.8,False,mv2:enter,1.0,False,1613001600000,1614124800000,0.0,2,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111013__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,32719.2357165,32719.2357165,0.65865,2021-02-25 00:00:00+00:00,2021-04-19 00:00:00+00:00,49676.21,56150.01,0.001,0.001,76320,0.1280615443053469,4194.2659302,mv2:exit,496.77,-0.99,496.77,-0.99,43000.0,64854.0,False,mv2:enter,1.0,False,1614211200000,1618790400000,0.0,0,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111013__BtcMacroV2Strategy__SWEEP__BTC_USDT
BTC/USDT,35721.3045438,35721.3045438,0.89262,2021-07-30 00:00:00+00:00,2021-09-08 00:00:00+00:00,40018.49,46868.57,0.001,0.001,57600,0.1688328695933647,6036.9612821,mv2:exit,400.19,-0.99,400.19,-0.99,37332.7,52920.0,False,mv2:enter,1.0,False,1627603200000,1631059200000,0.0,2,BtcMacroV2Strategy,SWEEP,BTC/USDT,20260606_111013__BtcMacroV2Strategy__SWEEP__BTC_USDT
